General government gross debt (Percent of GDP),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.10,71.30,61.90,59.80,59.70,55.00,51.60,54.80,57.40,58.30,60.20,64.40,65.30,71.20,77.50,80.20,80.50,78.40,77.10,76.60,76.60,75.90,73.30,69.40,66.60,65.00,63.50,62.20,61.00,59.90
Iceland,no data,no data,28.90,30.70,32.40,32.00,29.80,27.30,30.60,35.30,35.50,37.60,45.40,52.20,54.80,58.00,55.20,52.00,43.50,38.90,37.20,42.40,39.10,38.10,32.70,24.50,29.00,27.10,66.10,80.90,85.40,92.00,89.40,81.80,78.80,65.00,51.20,43.10,35.40,33.10,30.10,27.80,25.70,23.30,22.00
India,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,75.30,77.40,77.00,73.50,69.70,66.00,67.80,68.10,70.00,73.60,78.70,82.90,84.20,83.30,80.90,77.10,74.00,74.50,72.50,67.50,69.60,69.10,68.50,67.80,69.90,69.00,69.80,69.80,69.00,67.80,66.50,65.30,64.20,63.10
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,87.40,73.70,62.30,55.60,51.30,42.60,35.80,32.30,30.30,26.50,24.50,23.10,23.00,24.80,24.70,27.50,28.30,28.90,29.20,29.30,29.00,29.00,29.00,28.80,28.50
Iran,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.20,19.10,21.70,15.90,11.90,11.70,21.60,19.50,16.20,13.00,11.90,11.40,9.10,10.10,11.70,8.90,12.10,10.70,11.80,38.40,47.50,39.50,33.20,30.00,27.30,25.70,25.10,25.40,24.50
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,344.30,227.30,143.20,117.10,74.20,87.40,53.50,40.70,34.80,32.00,32.90,56.90,66.10,59.60,48.40,50.20,47.40,46.50,46.30,47.00,49.00
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,78.50,69.90,61.60,51.50,46.60,36.10,33.20,30.60,29.90,28.20,26.10,23.60,23.90,42.40,61.50,86.00,110.90,119.90,119.80,104.30,76.90,73.50,68.50,65.20,62.40,58.90,57.10,54.00,51.00,47.80
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,79.60,83.70,90.20,92.90,91.30,88.20,80.00,73.00,71.90,74.50,70.70,68.70,68.40,67.00,65.80,63.80,62.00,60.40,59.60,59.00,58.10,57.20,56.40,55.60,54.90
Italy,no data,no data,no data,no data,no data,no data,no data,no data,92.90,95.50,98.70,102.20,109.70,120.50,127.00,116.90,116.30,113.80,110.80,109.70,105.10,104.70,101.90,100.50,100.10,101.90,102.60,99.80,102.40,112.50,115.40,116.50,123.40,129.00,131.80,131.60,131.30,131.30,132.10,133.40,134.10,135.30,136.40,137.50,138.50
Jamaica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,82.70,91.80,108.00,118.40,123.20,119.90,124.70,117.10,114.50,127.00,141.90,141.90,140.50,145.10,138.70,137.90,121.30,113.60,101.10,99.40,94.10,88.90,82.50,76.30,69.90,63.90
Japan,48.80,54.00,59.00,64.90,67.00,69.70,75.50,77.30,73.20,66.80,64.30,63.50,68.00,74.20,85.00,95.90,101.00,106.70,117.90,131.10,137.90,146.80,156.80,162.70,171.70,176.80,176.40,175.40,183.40,201.00,207.90,222.10,229.00,232.50,236.10,231.60,236.30,235.00,237.10,237.50,237.00,237.40,237.80,238.00,238.30
Jordan,no data,no data,no data,no data,no data,no data,no data,no data,177.50,211.60,219.70,200.60,149.70,137.00,126.30,114.90,113.80,106.60,109.70,108.00,100.50,96.50,99.70,99.60,91.80,84.30,76.30,73.80,60.20,64.80,67.10,70.40,79.10,85.50,87.80,92.40,93.80,94.30,94.20,94.80,95.00,94.00,91.10,88.60,86.00
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.60,15.00,11.40,8.10,6.70,5.90,6.80,10.20,10.70,10.20,12.10,12.60,14.50,21.90,19.70,20.30,21.90,20.90,20.00,19.20,18.50,17.70,16.80
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.40,53.70,52.20,56.20,61.80,60.10,53.80,48.30,44.00,38.40,41.50,41.10,44.40,43.00,43.90,44.00,48.60,51.40,53.20,54.80,57.20,55.50,52.80,49.50,48.90,49.40,49.60
Kiribati,no data,no data,no data,no data,no data,no data,no data,no data,2.10,4.30,6.60,7.30,9.40,13.70,15.00,15.00,13.40,12.80,11.20,13.20,11.90,15.40,11.80,11.20,12.00,10.50,11.30,9.90,12.90,9.30,8.50,8.00,7.40,8.30,8.70,20.00,23.60,23.00,21.90,23.50,28.10,35.10,41.00,46.30,51.20
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.40,12.50,12.20,11.40,10.10,8.90,8.20,10.20,14.70,16.70,17.10,17.70,17.60,20.40,23.30,27.00,29.30,28.70,28.20,31.40,30.80,31.50,32.20,35.40,37.30,39.50,39.90,39.80,40.70,40.50,40.70,41.10,41.80,42.20,42.40
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.70,14.60,9.80,6.10,5.90,5.20,8.20,9.00,10.60,13.00,14.30,16.30,17.00,19.70,22.20,24.30,26.10,27.40,28.70
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,151.10,117.70,88.90,88.50,78.00,59.00,52.20,55.10,46.60,34.90,35.10,30.00,23.00,17.30,11.80,8.30,7.00,5.40,6.70,6.20,4.60,3.60,3.10,3.40,4.70,10.00,20.70,14.80,17.80,21.00,26.20,31.10,34.70,38.40
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,123.30,108.20,107.90,108.20,92.70,85.70,73.40,57.70,49.00,58.50,59.70,50.10,50.50,47.10,53.60,67.10,59.10,58.80,56.00,56.10,55.50,55.30,54.50,54.40,54.40
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.80,95.40,90.20,80.70,73.20,62.00,55.40,52.00,54.50,53.50,49.00,53.60,54.30,56.50,56.00,56.40,60.30,63.00,64.10,65.30,66.00,66.90,67.50,67.80
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.50,14.40,14.80,17.50,14.90,14.30,14.10,11.50,9.60,8.10,18.00,35.50,46.40,42.90,41.50,39.00,40.90,36.80,40.30,40.00,37.60,36.70,35.10,34.70,33.10,31.80,30.50
Lebanon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,148.20,163.20,163.20,171.40,169.70,179.00,183.10,169.00,160.90,144.20,136.90,133.90,130.40,135.40,137.80,140.70,146.10,149.00,150.90,157.80,162.70,166.60,169.30,171.30,173.10
Lesotho,no data,no data,no data,no data,no data,no data,no data,no data,23.10,25.30,17.80,11.80,63.80,70.50,66.30,62.20,70.90,65.00,78.60,82.10,87.60,107.60,78.80,52.10,45.50,48.70,51.00,50.90,44.90,34.10,31.80,33.70,37.00,38.50,39.20,43.30,37.20,36.80,39.00,37.90,37.30,34.80,32.60,30.40,32.30
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,401.60,399.10,397.80,514.90,466.30,419.10,386.90,314.70,201.90,113.40,21.80,19.30,17.60,17.90,21.70,25.90,28.30,34.10,40.50,46.70,52.60,58.40,60.90,65.40,66.60
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.80,28.10,23.50,22.90,22.10,20.40,18.70,17.60,17.20,15.90,14.60,29.00,36.20,37.20,39.80,38.80,40.50,42.60,39.90,39.40,35.90,33.80,31.80,30.00,28.30,26.80,25.40
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.90,8.70,8.50,8.10,7.10,6.50,6.90,6.80,6.80,7.30,7.40,7.80,7.70,14.90,15.70,19.80,18.70,21.70,23.70,22.70,22.20,20.70,23.00,21.80,21.60,21.30,21.00,20.50,20.00,19.60
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Madagascar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,118.30,138.40,137.30,126.80,113.50,116.40,121.90,107.90,127.70,119.70,107.70,98.60,105.50,100.00,95.00,86.50,37.40,32.80,32.70,36.80,34.70,35.00,35.50,36.10,34.70,35.70,41.90,40.30,39.70,41.00,42.10,43.50,45.10,46.10,46.60
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,137.20,128.50,115.10,106.60,28.10,28.40,36.20,35.60,29.60,30.60,43.90,59.20,54.70,61.20,61.30,61.90,61.30,59.00,58.50,56.90,54.80,52.20,50.00
Malaysia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,75.20,68.30,59.90,51.90,44.30,38.70,33.20,30.00,34.10,34.90,33.00,38.60,40.10,42.00,42.60,41.40,40.20,39.90,39.90,51.10,51.90,52.60,54.60,56.40,56.20,57.90,56.60,55.20,56.20,56.30,55.80,55.20,54.60,53.90,53.20
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.10,39.30,38.90,39.00,41.80,44.30,37.60,34.70,43.20,36.80,35.80,39.00,48.40,52.70,51.90,57.10,55.90,55.10,53.30,59.40,61.60,61.50,61.40,61.40,61.20,60.90,60.70,60.60
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90.50,77.50,42.60,44.10,42.40,46.60,18.10,18.50,20.30,21.90,25.30,24.00,25.40,26.40,27.40,30.70,35.90,35.40,36.60,36.90,37.60,38.20,38.90,39.10,39.60
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.10,51.30,60.50,66.10,69.50,64.20,70.10,64.90,68.70,71.10,70.00,64.50,62.30,62.60,67.60,67.50,70.20,67.70,68.40,63.40,57.90,55.40,50.20,45.40,42.50,39.10,35.70,32.10,30.00,28.20
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.90,18.50,27.00,27.90,34.40,38.80,44.50,46.90,45.00,43.30,41.20,41.60,40.20,37.20,35.30,36.40,32.30,35.10,34.30,29.80,27.20,25.20,23.40,22.80,22.20,22.00,22.10,22.50
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,234.40,231.70,204.40,177.90,170.90,154.80,82.60,73.40,53.80,62.40,58.50,52.10,53.20,51.10,60.30,76.80,78.50,76.80,83.90,80.60,82.00,79.80,70.50,63.60,55.90
Mauritius,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,57.30,59.80,64.10,65.70,61.10,61.40,61.20,49.60,50.70,56.90,57.10,57.20,56.60,59.10,62.00,65.40,66.20,63.70,65.20,67.50,67.80,66.70,65.50,64.40,63.40
Mexico,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.70,40.90,42.00,43.80,40.30,39.30,41.90,44.20,40.80,38.50,37.40,37.20,42.50,43.70,42.00,42.90,42.70,45.90,48.90,52.80,56.80,54.00,53.60,54.10,54.50,54.50,54.50,54.40,54.30
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.00,43.90,47.20,42.10,35.80,27.00,23.60,24.00,24.60,25.30,24.70,25.00,25.70,28.90,30.80,28.90,28.40,27.10,27.70,28.20,25.70,24.30,22.10,20.20,18.40,16.80,15.30,13.80,12.40,16.50
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.10,60.70,61.70,110.50,104.50,61.50,56.60,51.40,42.00,33.00,27.60,24.90,19.90,15.70,24.00,22.30,20.00,20.50,20.00,25.60,33.10,31.90,29.30,27.10,28.80,30.70,31.00,32.00,32.50,33.00
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,76.70,40.90,45.40,38.60,36.70,31.80,34.20,43.70,45.00,48.60,56.90,58.70,63.40,69.00,66.60,66.30,72.10,70.60,78.00,70.00,66.40,62.70,59.70
Morocco,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,76.30,64.00,72.50,80.80,75.00,78.20,70.70,73.50,69.80,68.60,70.20,65.40,64.30,61.60,58.90,59.30,54.80,50.90,45.40,46.10,49.00,52.50,56.50,61.70,63.30,63.70,64.90,65.10,65.20,65.10,64.30,63.10,62.00,60.90,60.00
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,115.90,118.20,123.40,75.80,74.90,59.70,70.20,46.60,36.00,36.30,41.90,43.30,38.00,40.10,53.10,62.40,88.10,121.60,103.20,100.40,124.50,119.90,115.30,111.50,100.90,89.50
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,169.60,125.40,146.60,216.00,161.90,124.10,119.10,110.40,90.50,62.40,53.10,55.10,49.60,46.10,43.40,37.10,37.40,41.60,41.80,47.30,49.40,49.10,47.80,46.50,44.90,43.70,42.50
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.80,17.40,19.40,20.60,19.70,22.40,22.90,20.40,23.60,22.10,26.40,28.80,26.00,24.40,18.70,18.80,15.50,16.00,26.20,23.70,24.20,24.70,38.70,39.50,41.50,47.10,51.60,55.90,59.80,63.20,66.70,70.20
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,245.50,234.00,170.30,119.60,110.40,79.00,77.70,65.00,62.00,61.50,60.40,60.50,60.40,60.70,60.70,60.30
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,57.90,57.90,59.10,60.40,58.50,51.50,48.90,43.20,41.90,38.50,34.00,31.70,34.30,32.20,28.20,25.60,27.90,26.40,30.40,33.10,34.10,33.80,33.50,32.60,31.90
Netherlands,43.70,47.00,52.60,58.60,62.10,67.30,69.20,71.50,73.90,74.00,75.30,75.10,75.80,76.90,73.70,72.20,70.50,64.90,61.70,57.50,50.90,48.20,47.50,48.70,49.10,48.50,44.10,42.00,53.80,55.80,59.30,61.70,66.20,67.70,67.90,64.70,61.90,57.00,54.40,52.00,49.90,47.40,44.90,42.30,39.80
New Zealand,no data,no data,no data,no data,no data,64.20,68.60,63.00,54.80,55.00,55.40,58.00,58.70,54.60,49.00,43.50,37.30,34.60,34.50,32.00,30.00,28.20,26.40,24.70,22.50,20.80,18.40,16.30,19.00,24.30,29.70,34.70,35.70,34.60,34.20,34.40,33.50,31.60,29.40,28.10,27.30,26.80,25.90,23.50,21.20
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.40,86.50,99.80,95.20,87.50,110.40,109.50,84.00,66.60,51.20,30.90,26.00,29.30,30.30,28.80,27.90,28.80,28.70,29.20,31.20,34.00,37.20,40.90,43.90,46.50,48.80,50.90,52.20
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90.70,81.00,91.10,81.70,83.70,115.60,104.60,98.20,78.00,67.80,64.50,24.00,23.00,17.30,21.60,20.70,25.90,24.90,24.70,30.60,39.70,43.70,49.00,55.10,55.60,54.10,52.50,48.30,45.80,44.20
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.70,75.00,70.20,71.00,55.90,34.00,25.20,24.10,22.30,64.90,57.60,53.10,43.30,42.10,35.50,18.90,9.40,8.10,7.30,8.60,9.60,17.60,17.70,18.60,17.50,20.30,23.40,25.30,28.40,30.10,31.40,32.70,33.80,34.90,35.90
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.80,45.60,45.20,40.50,36.50,34.60,36.70,30.60,23.50,20.60,23.60,24.10,27.70,33.70,34.00,38.00,38.10,39.80,39.40,39.50,40.50,41.30,41.80,42.10,42.10,41.90
Norway,46.70,42.50,37.70,34.70,34.50,36.20,45.10,37.70,31.80,31.70,28.40,38.40,44.10,52.60,49.60,32.10,27.80,25.20,22.90,24.30,28.10,26.70,33.50,42.70,43.50,42.00,52.30,49.20,47.20,41.90,42.30,28.80,30.00,30.40,28.40,32.90,36.20,36.80,36.80,36.80,36.80,36.80,36.80,36.80,36.80
Oman,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.40,26.60,28.40,28.10,30.70,28.50,27.60,27.10,38.40,35.40,26.70,27.40,21.10,19.40,16.60,9.60,8.70,6.90,4.70,6.70,5.80,5.20,4.90,5.00,4.90,15.50,32.50,46.90,50.90,61.30,63.10,64.50,66.90,70.50,73.30
Pakistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.00,65.20,65.50,65.80,67.00,75.60,76.80,81.20,76.10,70.50,63.20,58.90,53.70,52.40,57.20,58.50,60.60,58.90,63.20,63.90,63.50,63.30,67.60,67.00,72.10,77.00,79.10,81.00,82.60,84.10,85.60
Panama,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,82.50,80.70,68.50,63.40,61.20,58.10,56.40,60.90,60.00,59.50,61.90,62.50,57.60,49.20,41.50,40.50,39.50,36.90,35.30,34.40,36.50,37.40,37.30,37.50,39.40,37.80,36.10,34.60,33.20,32.00,31.00
Papua New Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.40,35.90,37.20,43.20,44.90,41.00,41.60,46.80,46.40,39.70,37.20,31.70,26.10,22.20,21.60,21.70,17.30,16.30,19.10,24.90,27.10,32.30,37.80,37.50,36.90,37.70,37.00,36.60,35.80,35.00,34.30
Paraguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.00,49.40,34.40,26.60,18.70,17.60,16.80,18.00,22.10,32.00,33.60,40.30,54.50,40.30,30.30,24.10,18.20,14.90,14.50,13.70,12.10,10.20,12.50,13.20,15.60,18.60,19.40,19.80,21.60,22.40,22.30,22.30,22.30,22.30,22.40
Peru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.40,43.40,45.00,49.00,46.30,40.00,34.80,31.90,27.90,28.40,25.40,23.00,21.20,20.00,20.70,24.00,24.50,25.40,26.80,27.20,27.00,26.40,25.90,25.50,25.00
Philippines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,76.10,65.50,62.70,54.70,58.70,52.40,55.90,61.10,61.50,67.50,74.10,73.90,67.40,59.70,52.40,52.10,52.10,49.70,47.50,47.90,45.70,42.10,41.50,39.00,39.90,39.60,39.10,38.50,37.90,37.30,36.90,36.40
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.70,43.10,42.70,38.70,39.30,36.40,37.10,41.50,46.30,45.10,46.40,46.90,44.20,46.30,49.40,53.10,54.10,53.70,55.70,50.40,51.30,54.20,50.60,48.40,47.50,48.20,49.10,49.90,50.50,51.20
Portugal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.40,59.90,54.40,53.60,56.60,58.30,59.50,55.20,51.80,51.00,50.30,53.40,56.20,58.70,62.00,67.40,69.20,68.40,71.70,83.60,90.50,111.40,126.20,129.00,130.60,128.80,129.20,124.80,121.40,119.50,117.30,111.30,107.40,106.30,102.70
Puerto Rico,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.40,36.90,40.80,46.50,48.30,50.00,53.70,52.30,54.50,52.70,50.10,51.60,54.60,57.70,59.80,60.50,61.10,61.50,61.90
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.70,17.60,16.60,37.50,44.20,42.30,49.50,48.00,63.40,74.40,52.50,59.10,47.60,39.10,29.00,19.20,13.40,8.90,11.10,32.40,29.10,33.50,32.10,30.90,24.90,35.50,46.70,49.80,48.40,52.70,45.90,40.60,37.10,33.30,29.40
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.40,27.20,27.30,24.00,21.00,17.50,12.50,12.40,13.00,22.50,30.90,34.20,37.80,39.00,40.50,39.40,38.90,36.90,36.60,38.00,39.70,41.50,43.30,45.00,46.20
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,92.40,55.90,44.50,37.60,28.40,20.80,14.90,9.80,8.00,7.50,9.90,10.90,11.20,11.90,13.10,16.10,16.40,16.10,15.50,14.00,13.80,13.90,14.10,14.70,15.90,16.90
Rwanda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,119.50,99.00,85.70,83.10,93.00,102.50,98.60,108.00,92.10,92.10,67.00,23.70,23.50,19.50,18.20,19.30,16.70,18.90,20.80,26.60,29.70,32.90,36.50,40.70,50.00,51.30,52.50,54.20,55.60,56.40
Saint Kitts and Nevis,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.90,66.50,77.40,89.20,93.80,101.50,115.80,135.90,146.70,148.50,139.20,127.60,122.20,133.20,143.90,134.90,126.60,93.80,75.20,66.10,61.50,61.10,62.00,59.50,59.70,63.80,68.60,72.00,75.50
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.70,21.50,24.70,25.40,26.10,25.40,26.70,29.70,32.50,32.20,36.60,42.50,53.20,49.90,54.50,56.30,52.60,51.00,51.80,54.50,55.70,60.00,67.00,68.90,69.60,66.80,66.60,66.10,66.80,71.60,74.20,74.70,75.70,76.80,77.50
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,59.80,57.90,54.80,53.30,58.60,51.50,44.50,42.50,43.10,57.80,58.60,56.50,55.40,53.90,62.00,65.40,64.10,55.50,56.70,63.60,65.40,68.80,72.50,75.00,79.40,79.40,82.80,74.20,73.10,71.40,69.70,68.10,66.70,65.60,64.60
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.50,61.00,57.20,55.20,51.60,43.90,40.90,35.00,34.40,32.30,28.90,32.30,41.20,42.10,49.20,53.60,54.40,57.80,52.60,49.10,50.20,49.40,48.90,49.60,50.50,51.40,52.80
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.40,13.20,12.90,13.00,15.80,20.40,20.30,19.50,23.30,35.00,32.90,33.50,35.20,76.60,77.00,77.10,77.90,78.00,78.10,78.20,78.30
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.40,47.80,58.60,67.90,74.20,75.20,76.70,101.50,103.00,86.70,93.10,96.40,81.60,62.90,37.30,25.80,17.10,12.10,14.00,8.40,5.40,3.00,2.10,1.60,5.80,13.10,17.20,19.10,23.70,25.40,27.60,28.10,32.40,37.50
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.10,67.30,18.80,15.20,58.00,56.00,53.70,43.20,37.60,36.10,17.30,18.60,18.90,26.90,28.30,32.70,34.20,36.80,42.40,44.50,47.70,60.60,64.40,62.00,60.40,59.40,55.20,52.40,51.60
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,224.80,106.30,76.10,71.80,62.20,51.30,38.00,31.20,30.60,33.90,41.20,44.00,54.40,57.50,67.60,71.30,68.90,58.70,54.30,50.90,48.30,45.50,43.00,40.80,38.60
