UNODC Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mongolia,,,, 13.9 , 13.3 , 15.8 , 13.1 , 11.3 , 8.1 , 8.2 , 8.8 , 9.6 , 7.1 , 7.1 , 7.3 , 6.2 , 5.7 
Republic of Korea,,,,,,,,,,,, 0.9 , 0.8 , 0.7 , 0.7 , 0.7 , 0.7 
Brunei Darussalam, 1.2 ,,, 0.8 , 0.6 , 0.5 , 0.8 , 0.8 , 0.3 , 0.8 , 0.3 , 0.3 , 1.0 , 0.5 ,,,
Cambodia, 4.7 , 3.3 , 3.4 , 4.0 , 3.9 , 3.4 , 3.0 , 2.9 , 2.4 , 2.3 , 2.3 , 1.8 ,,,,,
Indonesia, 1.0 ,,, 0.7 , 0.6 ,,,, 0.6 , 0.5 , 0.4 , 0.6 , 0.6 , 0.5 , 0.5 , 0.6 , 0.5 
Lao People's Democratic Republic, 10.7 ,,,,, 9.6 ,,,,, 8.0 ,,,,, 7.0 ,
Malaysia, 2.4 , 2.2 , 2.3 , 2.3 , 2.0 , 2.4 , 2.2 , 2.4 , 2.2 , 2.0 , 1.9 , 1.9 , 2.1 , 2.1 ,,,
Myanmar, 2.3 , 2.0 , 1.7 , 1.6 , 1.5 , 1.4 , 1.6 , 1.5 , 1.6 , 1.8 , 1.6 , 2.1 , 2.8 , 2.4 , 2.4 , 2.2 , 2.3 
Philippines*, 7.4 , 7.3 , 8.1 , 7.8 , 7.5 , 7.5 , 7.1 , 6.7 , 6.4 , 9.9 , 9.5 , 9.1 , 8.8 , 9.3 , 9.7 , 9.5 , 11.0 
Singapore, 0.9 , 0.7 , 0.5 , 0.6 , 0.5 , 0.5 , 0.4 , 0.4 , 0.6 , 0.4 , 0.4 , 0.3 , 0.2 , 0.3 , 0.3 , 0.3 , 0.3 
Thailand, 8.2 , 7.9 , 7.1 , 10.0 , 6.6 , 7.3 , 7.1 , 6.7 , 6.0 , 5.5 , 5.4 , 4.9 , 4.9 , 4.2 , 3.9 , 3.5 , 3.2 
Timor-Leste,,,,, 2.3 , 4.5 , 4.7 , 5.8 , 3.2 , 2.9 , 3.5 ,,,,, 3.9 ,
Viet Nam,, 1.2 , 1.3 , 1.3 , 1.3 , 1.2 , 1.2 , 1.4 , 1.3 , 1.4 , 1.5 , 1.5 ,,,,,
Afghanistan,,,,,,,,,, 4.0 , 3.4 , 4.1 , 6.3 ,,,,
Bangladesh, 2.5 , 2.7 , 2.6 , 2.5 , 2.8 , 2.5 , 2.9 , 2.6 , 2.8 , 2.8 , 2.6 , 2.6 , 2.6 , 2.8 , 2.8 , 2.5 ,
Bhutan, 3.1 , 3.2 , 3.1 , 0.8 , 2.3 , 1.7 , 1.3 , 2.0 , 2.6 , 2.2 , 2.2 , 4.3 , 4.4 , 3.1 ,, 1.5 , 1.1 
India, 4.9 , 4.6 , 4.5 , 4.0 , 4.1 , 3.9 , 3.9 , 3.8 , 3.8 , 3.8 , 3.8 , 3.8 , 3.8 , 3.6 , 3.7 , 3.4 , 3.2 
Iran (Islamic Republic of),,,, 2.6 , 2.9 ,,,,, 3.0 ,,,, 2.6 , 2.5 ,,
Maldives,, 2.4 , 2.7 , 1.3 ,,,, 0.9 , 1.4 , 1.7 , 1.6 , 0.8 , 2.6 , 0.8 ,,,
Nepal, 2.7 , 3.5 , 3.5 , 3.0 , 3.7 , 3.4 , 2.4 , 3.2 , 3.4 , 3.0 , 3.0 , 2.5 , 2.3 , 2.2 , 2.0 ,, 2.2 
Pakistan, 6.4 , 6.8 , 6.5 , 6.3 , 6.4 , 6.4 , 6.4 , 6.6 , 7.4 , 7.5 , 7.7 , 8.0 , 7.8 , 7.7 , 7.2 , 5.0 , 4.4 
Sri Lanka*,,,, 6.8 , 7.1 , 6.2 , 10.4 ,, 10.0 , 5.5 , 3.8 , 3.6 , 3.3 , 3.0 , 2.7 , 2.4 , 2.5 
Armenia, 3.0 , 2.9 , 2.3 , 2.5 , 2.8 , 1.9 , 2.7 , 2.6 , 3.3 , 3.4 , 1.9 , 2.5 , 2.3 , 2.2 , 2.5 , 2.6 , 3.0 
Azerbaijan, 2.8 , 2.7 , 2.6 , 2.2 , 2.4 , 2.2 , 2.2 , 2.2 , 2.2 ,, 2.3 ,, 2.2 , 2.4 , 2.5 ,, 2.1 
Bahrain,, 1.3 , 1.1 , 0.4 , 0.8 , 0.4 , 0.7 , 0.4 , 0.5 , 1.1 , 0.9 , 0.5 , 0.3 , 0.4 , 0.5 ,,
Cyprus, 0.8 , 0.7 , 0.2 , 1.4 , 1.6 , 1.9 , 1.4 , 1.2 , 0.8 , 1.7 , 0.7 , 0.8 , 1.9 , 1.0 , 1.0 , 1.3 , 1.1 
Georgia, 5.1 , 5.6 , 6.3 , 6.6 , 6.6 , 9.0 , 7.3 , 7.5 , 6.1 , 4.9 , 4.4 ,,,, 2.7 ,, 1.0 
Iraq**,,,,,,,,, 15.8 , 8.5 , 8.7 , 8.3 , 8.2 , 9.9 ,,,
Iraq (Central Iraq)**,,,,,,,,, 17.9 , 9.6 , 9.7 , 9.3 , 9.2 , 11.1 , 10.1 ,,
Iraq (Kurdistan Region)**,,,,,,,,, 3.3 , 2.2 , 3.0 , 2.5 , 2.1 , 2.2 ,,,
Israel, 2.4 , 3.6 , 3.6 , 3.1 , 2.7 , 2.5 , 2.7 , 1.8 , 1.9 , 1.8 , 2.0 , 2.0 , 1.7 ,, 1.5 , 1.4 ,
Jordan,,,,,, 1.2 , 1.7 , 1.8 , 1.8 , 1.5 , 1.6 , 1.9 , 2.0 , 1.7 , 2.0 , 1.7 , 1.5 
Kuwait,, 1.8 , 1.1 , 1.3 , 1.9 , 1.8 , 1.9 , 2.4 , 1.4 , 1.7 , 2.0 , 1.8 , 1.8 ,,,,
Lebanon,,,,,,,,, 4.5 , 3.5 , 3.8 , 3.7 , 3.9 , 4.5 , 4.3 , 3.9 , 4.0 
Oman,,, 1.2 , 1.5 , 1.7 , 2.1 , 4.7 , 1.4 , 1.7 , 1.3 , 1.6 , 1.1 , 1.1 , 2.6 , 0.7 ,,
Qatar, 0.2 , 0.8 ,,, 0.7 , 0.7 , 0.5 , 0.8 , 0.9 , 0.5 , 0.2 , 0.2 , 0.3 , 0.4 , 0.4 ,,
Saudi Arabia, 0.8 , 1.1 , 1.3 , 1.1 , 1.3 , 1.2 , 1.0 , 1.0 ,,,,,,,, 1.5 ,
State of Palestine,,,, 2.7 , 2.7 , 2.4 ,,, 1.2 , 1.1 , 0.8 , 0.6 , 0.6 , 0.5 , 0.8 , 1.0 , 0.7 
Syrian Arab Republic, 2.2 , 2.2 , 2.2 , 2.3 , 2.4 , 2.4 , 2.4 , 2.7 , 2.6 , 2.3 , 2.2 ,,,,,,
Turkey,,,, 4.3 , 4.3 , 4.9 , 4.6 , 5.2 , 4.6 , 5.2 , 4.2 , 4.2 , 4.3 ,,,,
United Arab Emirates,,,, 1.2 , 0.7 , 1.2 , 0.7 ,,,, 0.8 , 0.6 , 0.8 , 0.6 , 0.7 , 0.7 , 0.9 
Yemen, 3.9 ,,, 3.6 , 3.2 , 4.6 , 4.2 , 3.9 , 3.9 , 4.3 , 4.7 , 5.7 , 6.5 , 6.7 ,,,
Belarus, 10.2 , 9.8 , 10.1 , 9.0 , 8.4 , 8.6 , 7.7 , 6.8 , 5.7 , 5.1 , 4.2 , 3.9 , 3.6 , 3.5 , 3.6 ,,
Bulgaria, 4.2 , 3.9 , 3.2 , 3.2 , 3.2 , 2.6 , 2.4 , 2.3 , 2.3 , 2.0 , 2.0 , 1.7 , 1.9 , 1.5 , 1.6 , 1.8 , 1.1 
Czechia, 1.8 , 1.4 , 1.5 , 1.6 , 1.3 , 1.1 , 1.3 , 1.2 , 1.1 , 0.9 , 1.0 , 0.8 , 1.0 , 0.8 , 0.8 , 0.8 , 0.6 
Hungary, 2.0 , 2.5 , 2.0 , 2.2 , 2.1 , 1.6 , 1.7 , 1.5 , 1.8 , 1.4 , 1.4 , 1.5 , 1.3 , 1.6 , 1.5 , 2.3 , 2.1 
Poland#, 2.2 , 2.0 , 1.9 , 1.7 , 1.6 , 1.4 , 1.3 , 1.4 , 1.2 , 1.3 , 1.1 , 1.2 , 1.0 , 0.8 , 0.7 , 0.8 , 0.7 
Republic of Moldova, 10.3 , 9.8 , 9.6 , 7.6 , 6.6 , 7.1 , 6.3 , 5.3 , 5.7 , 6.0 , 6.5 , 7.5 , 5.6 , 4.2 , 3.2 ,,
Romania#, 2.6 , 2.7 , 2.6 , 2.5 , 2.4 , 2.1 , 2.1 , 2.0 , 2.3 , 1.9 , 2.0 , 1.7 , 1.9 , 1.7 , 1.5 , 1.5 , 1.2 
Russian Federation##, 28.1 , 29.4 , 30.5 , 28.9 , 27.3 , 24.8 , 20.1 , 17.7 , 16.6 , 14.9 ,,,, 11.0 , 11.3 , 11.5 , 10.8 
Slovakia, 2.4 , 2.2 , 2.2 , 2.5 , 2.0 , 1.7 , 1.5 , 1.5 , 1.6 , 1.4 , 1.5 , 1.6 , 1.2 , 1.3 , 1.3 , 0.8 , 1.0 
Ukraine, 9.0 , 10.0 , 9.0 , 8.5 , 7.4 , 6.5 , 6.3 , 5.7 , 5.3 , 4.9 , 4.3 ,, 5.2 ,, 6.3 ,,
Channel Islands,,,,,, 0.6 , 1.3 ,, 0.6 ,, -   ,,,,,,
Denmark, 1.1 , 1.0 , 1.0 , 1.2 , 0.8 , 1.0 , 0.5 , 0.7 , 1.0 , 0.9 , 0.8 , 0.8 , 0.8 , 0.9 , 1.3 , 1.0 , 1.0 
Estonia, 10.2 , 9.8 , 10.3 , 10.7 , 6.7 , 8.3 , 6.7 , 7.1 , 6.4 , 5.2 , 5.3 , 4.9 , 4.8 , 3.9 , 3.1 , 3.2 ,
Finland, 2.9 , 3.0 , 2.5 , 2.0 , 2.8 , 2.3 , 2.3 , 2.4 , 2.5 , 2.2 , 2.2 , 2.0 , 1.6 , 1.6 , 1.6 , 1.5 , 1.4 
Iceland, 1.8 , 0.4 , 1.4 , -   , 1.0 , 1.0 , -   , 0.7 , -   , 0.3 , 0.6 , 0.9 , 0.3 , 0.3 , 0.6 , 0.9 , 0.3 
Ireland, 1.0 , 1.3 , 1.3 , 0.9 , 0.7 , 1.2 , 1.4 , 1.8 , 1.1 , 1.2 , 1.1 , 0.9 , 1.1 , 1.1 , 1.1 , 0.6 , 0.8 
Isle of Man,,,,,,,,,,,, 1.2 , 2.5 , 2.4 , 3.6 , 1.2 , -   
Latvia, 10.0 , 9.3 , 9.2 , 8.8 , 7.9 , 5.6 , 5.8 , 4.3 , 4.6 , 5.0 , 3.3 , 3.3 , 3.4 , 2.5 , 3.2 , 3.4 ,
Lithuania, 10.6 , 10.2 , 8.5 , 10.1 , 10.1 , 11.1 , 8.7 , 8.5 , 9.3 , 8.0 , 7.0 , 6.9 , 6.7 , 6.6 , 5.4 , 5.9 , 5.2 
Norway, 1.1 , 0.8 , 1.0 , 1.1 , 0.8 , 0.7 , 0.7 , 0.6 , 0.7 , 0.6 , 0.6 , 2.2 , 0.5 , 0.9 , 0.6 , 0.5 , 0.5 
Sweden, 1.1 , 1.0 , 1.1 , 0.9 , 1.2 , 0.9 , 1.0 , 1.2 , 0.9 , 1.0 , 1.0 , 0.9 , 0.7 , 0.9 , 0.9 , 1.1 , 1.1 
United Kingdom (England and Wales), 1.5 , 1.5 , 1.8 , 1.5 , 1.5 , 1.3 , 1.3 , 1.3 , 1.2 , 1.1 , 1.1 , 0.9 , 1.0 , 0.9 , 0.9 , 1.0 , 1.2 
United Kingdom (Northern Ireland), 2.7 , 3.4 , 2.2 , 2.5 , 2.0 , 1.8 , 1.7 , 1.6 , 1.3 , 1.6 , 1.3 , 1.2 , 1.2 , 1.1 , 0.9 , 1.2 , 1.0 
United Kingdom (Scotland), 2.1 , 2.3 , 2.5 , 2.2 , 2.7 , 1.9 , 2.3 , 2.2 , 1.9 , 1.6 , 1.9 , 1.8 , 1.2 , 1.2 , 1.2 , 1.1 , 1.2 
United Kingdom of Great Britain and Northern Ireland, 1.6 , 1.6 , 1.9 , 1.6 , 1.6 , 1.4 , 1.4 , 1.4 , 1.2 , 1.1 , 1.2 , 1.0 , 1.0 , 0.9 , 0.9 , 1.0 , 1.2 
Albania, 4.2 , 7.0 , 6.9 , 5.3 , 4.2 , 5.0 , 3.1 , 3.5 , 3.1 , 2.9 , 4.3 , 4.9 , 5.4 , 4.2 , 4.0 , 2.3 , 2.7 
Andorra,,,,, 1.3 ,,, -   , 1.2 , -   , -   , 1.2 , -   , -   , -   , -   ,
Bosnia and Herzegovina, 2.6 , 2.2 , 2.4 ,, 1.8 , 1.9 , 1.9 , 1.7 , 1.8 , 1.9 , 1.5 , 1.4 , 1.7 , 1.3 , 1.4 , 1.6 , 1.3 
Croatia, 2.3 , 1.8 , 1.7 , 1.6 , 1.9 , 1.6 , 1.7 , 1.4 , 1.6 , 1.1 , 1.4 , 1.1 , 1.2 , 1.1 , 0.8 , 0.9 , 1.0 
Gibraltar,,,,,,,,,, -   , 3.0 ,,,,,,
Greece,, 1.2 , 0.8 , 1.1 , 1.0 , 1.2 , 1.0 , 1.1 , 1.3 , 1.3 , 1.5 , 1.6 , 1.5 , 1.4 , 0.9 , 0.8 , 0.8 
Holy See,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   ,
Italy, 1.3 , 1.2 , 1.1 , 1.2 , 1.2 , 1.0 , 1.1 , 1.1 , 1.0 , 1.0 , 0.9 , 0.9 , 0.9 , 0.8 , 0.8 , 0.8 , 0.7 
Kosovo under UNSCR 1244,,,,,,,,, 6.5 , 4.1 , 6.0 , 3.5 , 5.0 , 2.2 , 2.3 , 1.7 , 1.6 
Malta, 1.0 , 1.5 , 1.5 , -   , 1.7 , 1.0 , -   , 1.0 , 1.5 , 1.0 , 1.0 , 0.7 , 2.9 , 1.7 , 1.4 , 0.9 ,
Montenegro,,, 4.4 , 3.3 , 2.3 , 3.6 , 4.0 , 1.9 , 3.9 , 3.4 , 2.4 , 3.4 , 2.7 , 1.6 , 3.2 , 2.7 , 4.5 
Portugal, 1.1 , 1.0 , 1.1 , 1.4 , 1.4 , 1.3 , 1.5 , 1.7 , 1.2 , 1.2 , 1.2 , 1.1 , 1.2 , 1.4 , 0.9 , 1.0 , 0.6 
San Marino, -   , -   , 3.6 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Serbia, 2.4 , 2.6 , 2.1 , 1.9 , 1.8 , 1.6 , 1.7 , 1.9 , 1.5 , 1.7 , 1.4 , 1.5 , 1.2 , 1.6 , 1.4 , 1.2 , 1.4 
Slovenia, 1.8 , 1.4 , 1.8 , 1.1 , 1.4 , 1.0 , 0.6 , 1.2 , 0.5 , 0.6 , 0.7 , 0.8 , 0.7 , 0.6 , 0.8 , 1.0 , 0.5 
Spain, 1.4 , 1.4 , 1.3 , 1.4 , 1.2 , 1.2 , 1.1 , 1.1 , 0.9 , 0.9 , 0.9 , 0.8 , 0.8 , 0.6 , 0.7 , 0.7 , 0.6 
The former Yugoslav Republic of Macedonia, 2.3 , 2.7 , 2.9 , 3.4 , 2.4 , 2.1 , 2.2 , 2.0 , 1.7 , 1.7 , 2.1 , 1.4 , 1.4 , 1.1 , 1.6 ,,
Austria, 1.0 , 0.9 , 0.8 , 0.6 , 0.7 , 0.7 , 0.7 , 0.5 , 0.7 , 0.6 , 0.7 , 0.9 , 0.9 , 0.7 , 0.5 , 0.5 , 0.7 
Belgium#, 2.1 , 2.7 , 3.1 , 2.2 , 2.6 , 2.1 , 2.1 , 2.0 , 1.9 , 1.7 , 1.7 , 1.9 , 1.8 , 1.8 , 1.9 , 1.9 ,
France, 1.8 , 1.7 , 1.9 , 1.6 , 1.6 , 1.6 , 1.4 , 1.6 , 1.6 , 1.3 , 1.3 , 1.4 , 1.2 , 1.2 , 1.2 , 1.6 , 1.4 
Germany, 1.2 , 1.1 , 1.2 , 1.1 , 1.1 , 1.1 , 1.0 , 0.9 , 0.9 , 1.0 , 1.0 , 0.9 , 0.8 , 0.8 , 0.9 , 0.8 , 1.2 
Liechtenstein, -   , -   , -   , -   , 2.9 , -   , -   , -   , 2.8 , -   , 2.8 , -   , -   , -   , 2.7 , -   , -   
Luxembourg, 0.9 , 2.0 , 1.4 , 0.7 , 0.4 , 0.9 , 1.5 , 1.5 , 1.6 , 1.0 , 2.0 , 0.8 , -   , 0.2 , 0.7 ,,
Monaco,, 3.1 ,,, 3.0 , 3.0 , 2.9 , -   , -   , -   , -   , -   , -   , -   ,, -   ,
Netherlands, 1.1 , 1.3 , 1.2 , 1.2 , 1.2 , 1.1 , 0.8 , 0.9 , 0.9 , 0.9 , 0.9 , 0.9 , 0.9 , 0.7 , 0.7 , 0.6 , 0.6 
Switzerland, 1.0 , 1.2 , 1.2 , 1.0 , 1.1 , 1.0 , 0.8 , 0.7 , 0.7 , 0.7 , 0.7 , 0.6 , 0.6 , 0.7 , 0.5 , 0.7 , 0.5 
Australia, 1.9 , 1.8 , 1.9 , 1.7 , 1.5 , 1.3 , 1.4 , 1.2 , 1.2 , 1.2 , 1.0 , 1.1 , 1.1 , 1.1 , 1.0 , 1.0 , 0.9 
New Zealand#, 1.3 , 1.3 , 1.5 , 1.1 , 1.1 , 1.5 , 1.2 , 1.1 , 1.2 , 1.5 , 1.0 , 0.9 , 0.9 , 1.0 , 1.0 ,,
Fiji,,,, 3.1 , 2.8 , 2.8 , 2.7 , 2.5 , 2.0 , 3.4 , 2.3 , 2.3 , 2.3 , 2.2 , 2.3 ,,
New Caledonia,,,,,,, 3.4 , 5.0 , 4.5 , 3.2 ,,,,,,,
Papua New Guinea, 8.3 ,,,,,, 9.4 , 7.8 ,,,,,,,,,
Solomon Islands,,,,, 4.4 , 5.5 , 4.8 , 5.3 , 3.8 ,,,,,,,,
Vanuatu, 2.9 ,,,,, 2.5 ,,,,, 2.3 ,,,,, 2.1 ,
Guam, 1.3 , 5.1 , 1.3 , 5.1 , 5.7 , 4.4 , 6.9 , 0.6 , 0.6 , 3.1 , 1.9 , 2.5 ,,,,,
Kiribati, 3.6 , 4.7 ,,,,,,, 7.1 , 1.0 , 3.9 , 10.5 , 7.5 ,,,,
Micronesia (Federated States of), 4.0 ,,,,, 4.6 ,,,,, 4.5 ,,,,, 4.7 ,
Nauru,,,,,,,,,,,,, -   ,,,,
Palau,,,,,,,,,,,,, 3.1 ,,,,
American Samoa,, 1.7 , 11.9 , 5.1 , 6.7 , 10.1 , 6.8 , 1.7 , 5.3 , 3.6 , 9.0 , 9.0 , 3.6 , 5.4 , 5.4 , 7.2 , 5.4 
Cook Islands,,,,,,,,,,,,, 3.5 ,,,,
French Polynesia,,,,,,, 1.2 , 2.7 , 3.4 , 0.4 ,,,,,,,
Niue,,,,,,,,,,,,, -   ,,,,
Samoa,,,,,,,,,, 8.7 , 8.6 ,,, 3.1 ,,,
Tonga, 1.0 , 6.1 , 6.0 , 6.0 , 2.0 , 4.0 , 7.9 , 1.0 , 3.9 , 7.7 , 1.0 , 1.9 , 1.0 ,,,,
Tuvalu,,, -   , -   , -   , -   , -   , -   , -   , -   , 9.5 , 9.4 , 18.6 ,,,,