Lat,Long,City,Billionaires,Billionaire Density,UHNW Individuals
40.712776,-74.005974,New York,105,81311,8865
22.396427,114.109497,Hong Kong,87,84962,10010
37.774929,-122.419418,San Francisco,75,11612,2820
55.755825,37.617298,Moscow,70,176145,
51.507351,-0.127758,London,65,135198,3830
39.904202,116.407394,Beijing,55,223000,
1.352083,103.819839,Singapore,39,143904,
34.052235,-118.243683,Los Angeles,39,101957,5250
25.204849,55.270782,Dubai,38,84007,
19.075983,72.877655,Mumbai,38,327431,
22.543097,114.057861,Shenzhen,37,294636,
-23.55052,-46.633308,Sao Paulo,33,362661,
41.00824,28.978359,Istanbul,32,462629,
30.274084,120.155067,Hangzhou,31,143677,
35.689487,139.691711,Tokyo,29,319750,6785
48.856613,2.352222,Paris,,,3950
41.878113,-87.629799,Chicago,,,3255
47.751076,-120.740135,"Washington, DC",,,2735
34.693737,135.502167,Osaka,,,2730